j = 0, i = 36ddc5f19d31a8d744d01bbbd1d11321 
j = 1, i = 381c217ee7fe965c547e4af4c8a70b75 
j = 3, i = 3aba1edcd69ec930c8c006a5e9f0854c 
j = 4, i = 3c25eb3ea386cf546da2ec2f471aa6b9 
j = 5, i = 3cfcc0ca272d41bdfa5d2ec747019f73 
j = 5, i = 3d7d0dcc28a6dfb5464b9b43e751e45f 
j = 6, i = 3e7433883ed362df81977e1b24e3d6ec 
j = 7, i = 40001f4b6e1a35f0b99fc4f44078ab27 
j = 9, i = 42a64eac09d0a6be5a307753093d45e8 
j = 9, i = 437222e3fd1b07396f1d9ba8c15fba59 
j = 10, i = 43e16679b4c9df0ae3d5fefa59a34ff4 
j = 11, i = 45390ff93f092f0de1524d486a172c33 
j = 11, i = 454fc309e2afec5ce697014d9193afbc 
j = 12, i = 465bd6cdd5535737b0839fe6b722c9fb 
j = 12, i = 46aecd246f390bf2157edfeed11b5433 
j = 12, i = 46e986bd2d3cdddfbc642749d67b4777 
j = 12, i = 478887cd708081a72d53f271fe615bae 
j = 14, i = 497e5e92e62cf84d974cd4345971f57a 
j = 15, i = 4ac8967b6c44825655969aa13a7e6213 
j = 15, i = 4b806b93edf76523f25669be3962bd2f 
j = 16, i = 4bd1c66907b2334cfdb5bc612d980f0d 
j = 17, i = 4d5abe7999d76d1fb6237d3677706af0 
j = 17, i = 4d5e865e4b64c8b33f8a81fd14731344 
j = 17, i = 4dcf0dcced3cfcb139316e2c821048e5 
j = 18, i = 4e77f81a29bcffe4eaf68247167bf623 
j = 18, i = 4edb2debfd66979e4c68897c768c36b8 
j = 18, i = 4f1583d080fe1eec5e509335d79b17c6 
j = 19, i = 4fc1fb51c00a593d698708ba797bf73c 
j = 19, i = 50345d40b0f9c76464f67c9971bf823e 
j = 19, i = 50517e1413e46c6df586274af938d47e 
j = 20, i = 5163b056ed27c054cb24f2c9c6802644 
j = 20, i = 51f2bc977a4fb1086e3521f501645ddc 
j = 20, i = 523d5e9ab692bee9c8dfd7063351f696 
j = 20, i = 523e4c5c14788a136fa42fa8fadbb06d 
j = 21, i = 5334316e328fbb4a7286479768342ad5 
j = 21, i = 534a285e4e770b1bfbb710c8d45ea5b7 
j = 21, i = 53be479f3b3486d26abed234b365a359 
j = 23, i = 55d31aada518f8198b01470b36eda8f2 
j = 24, i = 575fddcc90877446a5a777b509ac3786 
j = 25, i = 5913c96e255e41e1a9ed2fff46dfc552 
j = 25, i = 59242532335f9d910b9f7d22be39bb59 
j = 26, i = 59eb76a0fd6569a54967456dad8142ef 
j = 26, i = 5a92b60d387be04eb53698b2f8b9b043 
j = 28, i = 5d38e21bcfe6ead5e9e882d4f8c828b1 
j = 29, i = 5d9eaab2f0968ee661d96ba4afdf807d 
j = 30, i = 60229238a1d7386617d6f8352e246cbf 
j = 33, i = 62f3b85438e9485d84c4940776f9ed67 
j = 33, i = 62f45e4a3ac45d14c761131a05fc32cf 
j = 34, i = 645f607d5609144dd5eb78fe1c5a22d4 
j = 36, i = 67ff64203c34a9d3f2bf38605aa66bd5 
j = 38, i = 6a87a0371f263aa8c1779c2c115c1427 
j = 39, i = 6b8a03d40f75b75ec65ed5ba13d80f95 
